"race_grp","Date","nat_race","nat_race_agg","project"
"American Indian or Alaska Native",2021-07-04,61.8370475043055,64.8518101218377,1
"Asian",2021-07-04,89.6488590118343,64.8518101218377,1
"Black",2021-07-04,51.2896965667847,64.8518101218377,1
"Hispanic",2021-07-04,63.2598345152536,64.8518101218377,1
"Native Hawaiian or Other Pacific Islander",2021-07-04,87.0443498945417,64.8518101218377,1
"Other",2021-07-04,66.5947218451385,64.8518101218377,1
"White",2021-07-04,65.5147445232392,64.8518101218377,1
