race_grp,Date,nat_race,nat_race_agg,project
Hispanic,6/26/21,60.87060927,63.4028572,1
White,6/26/21,64.39056527,63.4028572,1
Asian,6/27/21,88.08369101,63.58489014,1
Black,6/27/21,49.89647597,63.58489014,1
Hispanic,6/27/21,61.16926242,63.58489014,1
White,6/27/21,64.53108767,63.58489014,1
Asian,6/28/21,88.30826008,63.76593936,1
Black,6/28/21,50.09550749,63.76593936,1
Hispanic,6/28/21,61.46791558,63.76593936,1
White,6/28/21,64.67161008,63.76593936,1
Asian,6/29/21,88.5320544,63.94694364,1
Black,6/29/21,50.294539,63.94694364,1
Hispanic,6/29/21,61.76656874,63.94694364,1
White,6/29/21,64.81213249,63.94694364,1
Asian,6/30/21,88.75584873,64.12794386,1
Black,6/30/21,50.49357051,64.12794386,1
Hispanic,6/30/21,62.06522189,64.12794386,1
White,6/30/21,64.95265489,64.12794386,1
Asian,7/1/21,88.97964305,64.30894184,1
Black,7/1/21,50.69260203,64.30894184,1
Hispanic,7/1/21,62.36387505,64.30894184,1
White,7/1/21,65.0931773,64.30894184,1
Asian,7/2/21,89.20343738,64.48993982,1
Black,7/2/21,50.89163354,64.48993982,1
Hispanic,7/2/21,62.6625282,64.48993982,1
White,7/2/21,65.23369971,64.48993982,1
Asian,7/3/21,89.42620801,64.67087844,1
Black,7/3/21,51.09066505,64.67087844,1
Hispanic,7/3/21,62.96118136,64.67087844,1
White,7/3/21,65.37422212,64.67087844,1
Asian,7/4/21,89.64885901,64.85181012,1
Black,7/4/21,51.28969657,64.85181012,1
Hispanic,7/4/21,63.25983452,64.85181012,1
White,7/4/21,65.51474452,64.85181012,1
