"race_grp","Date","nat_race","nat_race_agg","project"
"American Indian or Alaska Native",2021-07-04,60.5069514451248,63.626401812874,1
"Asian",2021-07-04,88.1369759754255,63.626401812874,1
"Black",2021-07-04,49.9443424736314,63.626401812874,1
"Hispanic",2021-07-04,61.2403593787365,63.626401812874,1
"Native Hawaiian or Other Pacific Islander",2021-07-04,86.6986865592527,63.626401812874,1
"Other",2021-07-04,65.287841338212,63.626401812874,1
"White",2021-07-04,64.5619351649433,63.626401812874,1
