Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/08/2021,23,TN,6170000,367600,2559160,3243240,0,90348,105731,115997,539622,4929690,4929154,4831294,1690914,143604,2062158,2714512,9416,108276,56403,30785,21088,71448,35061,20132,16255,72186,84467,90829,147886,4839703,2712829,39.7,2712365,46.5,2643342,49.7,882290,77.2,2213039,32.4,2212951,37.9,2185390,41.1,777421,68,139693,900858,1169705,2783,139659,900843,1169666,2783,139552,900605,1142459,2774,24949,393401,357345,1726,36785,21357,10527,4901
06/08/2021,23,AR,2793260,178800,1250240,1364220,0,92559,109229,120521,533185,2117118,2114300,2065246,726982,70614,996475,1049463,566,29086,8026,3946,17114,19119,4731,2387,12001,70154,82679,89110,138768,2123947,1212579,40.2,1210029,47.3,1176117,50.7,399873,76.3,961824,31.9,961479,37.6,946047,40.8,335239,64,68850,445064,447768,142,68742,445060,447535,142,68499,444318,433095,135,10972,194198,129980,89,9884,3233,1546,5105
06/08/2021,23,MH,51300,10800,40500,0,0,87823,102839,112594,516616,30620,30596,30546,1836,385,30235,0,0,0,0,0,0,0,0,0,0,52420,61334,67043,18489,30679,16821,28.8,16804,33.7,16767,36.8,1013,10.2,14153,24.2,14146,28.4,14129,31,842,8.5,388,13756,9,0,388,13749,9,0,386,13735,8,0,19,823,0,0,0,0,0,0
06/08/2021,23,IL,14367835,850100,5694920,7822815,0,113384,132571,145808,703192,11981117,11962286,11483587,3223884,406062,4862432,6704265,8358,424079,163563,113359,147157,286733,97087,69194,120452,94549,110376,116538,157784,12110607,7127131,56.2,7110962,65.6,6761029,68.6,1808526,88.5,5235388,41.3,5232823,48.3,5096230,51.7,1461043,71.5,406176,2047273,2779125,2814,406152,2047232,2776625,2814,404311,2042317,2646805,2797,60347,675921,723198,1577,136014,65748,43661,26605
06/08/2021,23,CA,48031090,2615400,19573120,25842570,0,121560,142753,156874,822716,39633257,39572031,37934845,9549390,1405562,16553078,21669189,5428,840196,390165,368781,81250,499060,225820,214960,58280,100306,117612,123899,163570,39627260,22990099,58.2,22939145,68.2,21832844,71.3,5338661,91.4,17813406,45.1,17803058,52.9,17267541,56.4,4270217,73.1,1393697,7190924,9227236,1549,1393426,7190535,9217549,1548,1387848,7171203,8706980,1510,144616,2197425,1927557,619,334905,160812,151152,22941
06/08/2021,23,WA,9076940,495000,3665600,4916340,0,119200,139625,152507,750332,7918905,7918248,7610645,2062303,313141,3237133,4364011,4620,164720,71627,53329,39764,105015,43730,33817,27468,103992,121802,127871,170477,7911690,4425789,58.1,4425178,68.1,4209696,70.7,1081896,89.4,3727121,48.9,3727023,57.3,3637342,61.1,1006428,83.2,310796,1485994,1928979,1352,310780,1485969,1928922,1352,310625,1485593,1839787,1337,48734,461828,495040,826,58764,27353,19142,12269
06/08/2021,23,AS,54030,600,15600,37830,0,97021,113611,124387,570719,43401,43399,41717,4802,38,10594,32769,0,0,0,0,0,0,0,0,0,77935,91257,96040,50724,43662,23982,43.1,23981,50.4,22968,52.9,2579,27.2,19590,35.2,19589,41.2,18923,43.6,2311,24.4,46,4588,14956,0,46,4587,14956,0,46,4575,14302,0,7,925,1379,0,0,0,0,0
06/08/2021,23,ID,1626965,100100,685440,841425,0,91041,108797,121518,559729,1257553,1257532,1257371,444882,43147,550309,663337,760,26913,8500,4896,13517,16444,4836,2938,8670,70370,84093,93913,153054,1261122,681257,38.1,681237,45.6,680625,50.8,231095,79.5,597942,33.5,597931,40,597810,44.7,215851,74.3,42993,251635,303085,229,42986,251633,303083,229,42979,251624,302979,228,8496,100898,106360,97,10271,3554,1904,4813
06/08/2021,23,NE,2028190,108000,809080,1111110,0,104848,125398,139076,649108,1736034,1735795,1679467,528644,62970,702188,967708,3168,59352,26608,22832,9912,38965,16909,15180,6876,89745,107320,115163,169189,1743968,951491,49.2,951299,58.8,912575,62.6,270685,86.6,839890,43.4,839845,51.9,822013,56.4,253925,81.3,63254,327733,447976,927,63241,327715,447962,927,63213,327635,430252,913,4922,123497,124878,628,20324,9651,7615,3058
06/08/2021,23,NV,2956650,183300,1197360,1575990,0,95990,112772,123838,596132,2571731,2571697,2506349,750678,110290,1051007,1410434,0,73636,16605,14258,42773,52011,9743,8483,33785,83494,98089,104977,151355,2541717,1436491,46.6,1436442,54.8,1390870,58.3,398653,80.4,1172354,38.1,1172342,44.7,1154513,48.4,352220,71,108515,471022,592807,10,108513,471019,592800,10,108482,470955,575066,10,19415,169237,163563,5,21493,6737,5712,9044
